!Agilent Technologies,E4990A,MY54201856,A.02.20
!Date: Wed Feb 25 18:26:20 2026

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, |Z|(Ohm)-mem, theta-z(deg)-data, theta-z(deg)-mem
+3.27577785000e+004, +3.57698660294e+005, +3.57767093246e+005, -8.54524462670e+001, -8.51168364014e+001
+3.27577972500e+004, +3.56726682989e+005, +3.56811137510e+005, -8.54151096738e+001, -8.50949841671e+001
+3.27578160000e+004, +3.55865970760e+005, +3.55853539347e+005, -8.53975032536e+001, -8.50729675945e+001
+3.27578347500e+004, +3.54781572037e+005, +3.54894295008e+005, -8.53772745630e+001, -8.50507848976e+001
+3.27578535000e+004, +3.53882932841e+005, +3.53933400737e+005, -8.53607267819e+001, -8.50284342648e+001
+3.27578722500e+004, +3.53001383293e+005, +3.52970852778e+005, -8.53447179703e+001, -8.50059138584e+001
+3.27578910000e+004, +3.51883213944e+005, +3.52006647367e+005, -8.53094796719e+001, -8.49832218144e+001
+3.27579097500e+004, +3.50892209768e+005, +3.51040780739e+005, -8.52782179926e+001, -8.49603562414e+001
+3.27579285000e+004, +3.49938877262e+005, +3.50073249124e+005, -8.52711460065e+001, -8.49373152208e+001
+3.27579472500e+004, +3.49106050661e+005, +3.49104048748e+005, -8.52354239813e+001, -8.49140968057e+001
+3.27579660000e+004, +3.48061017498e+005, +3.48133175837e+005, -8.52160027751e+001, -8.48906990208e+001
+3.27579847500e+004, +3.47109154728e+005, +3.47160626610e+005, -8.51772373084e+001, -8.48671198617e+001
+3.27580035000e+004, +3.46145863245e+005, +3.46186397287e+005, -8.51670838541e+001, -8.48433572946e+001
+3.27580222500e+004, +3.45134689175e+005, +3.45210484082e+005, -8.51522222485e+001, -8.48194092554e+001
+3.27580410000e+004, +3.44147726033e+005, +3.44232883209e+005, -8.51109105128e+001, -8.47952736493e+001
+3.27580597500e+004, +3.43083754881e+005, +3.43253590878e+005, -8.50711323054e+001, -8.47709483502e+001
+3.27580785000e+004, +3.42184137643e+005, +3.42272603299e+005, -8.50592762763e+001, -8.47464312005e+001
+3.27580972500e+004, +3.41307108181e+005, +3.41289916678e+005, -8.50415306053e+001, -8.47217200097e+001
+3.27581160000e+004, +3.40435755467e+005, +3.40305527220e+005, -8.50152373733e+001, -8.46968125546e+001
+3.27581347500e+004, +3.39262320410e+005, +3.39319431129e+005, -8.49856532201e+001, -8.46717065782e+001
+3.27581535000e+004, +3.38123211633e+005, +3.38331624609e+005, -8.49547097772e+001, -8.46463997893e+001
+3.27581722500e+004, +3.37224639368e+005, +3.37342103860e+005, -8.49354768406e+001, -8.46208898617e+001
+3.27581910000e+004, +3.36228162416e+005, +3.36350865085e+005, -8.49189327581e+001, -8.45951744337e+001
+3.27582097500e+004, +3.35237259247e+005, +3.35357904483e+005, -8.48718300808e+001, -8.45692511070e+001
+3.27582285000e+004, +3.34370375191e+005, +3.34363218254e+005, -8.48287206370e+001, -8.45431174467e+001
+3.27582472500e+004, +3.33342813919e+005, +3.33366802600e+005, -8.48007469040e+001, -8.45167709801e+001
+3.27582660000e+004, +3.32334770647e+005, +3.32368653722e+005, -8.47946068769e+001, -8.44902091960e+001
+3.27582847500e+004, +3.31330703898e+005, +3.31368767821e+005, -8.47649205565e+001, -8.44634295440e+001
+3.27583035000e+004, +3.30267480499e+005, +3.30367141099e+005, -8.47235840462e+001, -8.44364294341e+001
+3.27583222500e+004, +3.29353156270e+005, +3.29363769759e+005, -8.47020934605e+001, -8.44092062351e+001
+3.27583410000e+004, +3.28320721219e+005, +3.28358650008e+005, -8.46784452007e+001, -8.43817572749e+001
+3.27583597500e+004, +3.27264917978e+005, +3.27351778052e+005, -8.46451301648e+001, -8.43540798385e+001
+3.27583785000e+004, +3.26233204223e+005, +3.26343150100e+005, -8.46131813838e+001, -8.43261711682e+001
+3.27583972500e+004, +3.25240412830e+005, +3.25332762363e+005, -8.45919390504e+001, -8.42980284622e+001
+3.27584160000e+004, +3.24211459987e+005, +3.24320611055e+005, -8.45525933086e+001, -8.42696488736e+001
+3.27584347500e+004, +3.23227713644e+005, +3.23306692395e+005, -8.45217834636e+001, -8.42410295100e+001
+3.27584535000e+004, +3.22251499813e+005, +3.22291002604e+005, -8.45018161020e+001, -8.42121674322e+001
+3.27584722500e+004, +3.21225122034e+005, +3.21273537904e+005, -8.44658112344e+001, -8.41830596534e+001
+3.27584910000e+004, +3.20140447569e+005, +3.20254294528e+005, -8.44337514311e+001, -8.41537031384e+001
+3.27585097500e+004, +3.19149243228e+005, +3.19233268707e+005, -8.44172219876e+001, -8.41240948020e+001
+3.27585285000e+004, +3.17975570833e+005, +3.18210456681e+005, -8.43668181062e+001, -8.40942315089e+001
+3.27585472500e+004, +3.17123331025e+005, +3.17185854694e+005, -8.43422582826e+001, -8.40641100719e+001
+3.27585660000e+004, +3.16042957046e+005, +3.16159458996e+005, -8.43026768045e+001, -8.40337272512e+001
+3.27585847500e+004, +3.15061199867e+005, +3.15131265843e+005, -8.42837108385e+001, -8.40030797533e+001
+3.27586035000e+004, +3.13930326557e+005, +3.14101271499e+005, -8.42318501558e+001, -8.39721642298e+001
+3.27586222500e+004, +3.12967434766e+005, +3.13069472236e+005, -8.42270286697e+001, -8.39409772764e+001
+3.27586410000e+004, +3.11983839763e+005, +3.12035864329e+005, -8.41767946219e+001, -8.39095154315e+001
+3.27586597500e+004, +3.10952302072e+005, +3.11000444067e+005, -8.41449489234e+001, -8.38777751752e+001
+3.27586785000e+004, +3.09863172671e+005, +3.09963207744e+005, -8.40994710465e+001, -8.38457529280e+001
+3.27586972500e+004, +3.08826186808e+005, +3.08924151665e+005, -8.40704042651e+001, -8.38134450496e+001
+3.27587160000e+004, +3.07801838826e+005, +3.07883272143e+005, -8.40461809055e+001, -8.37808478376e+001
+3.27587347500e+004, +3.06665323061e+005, +3.06840565504e+005, -8.40106809856e+001, -8.37479575261e+001
+3.27587535000e+004, +3.05623694382e+005, +3.05796028083e+005, -8.39672236330e+001, -8.37147702844e+001
+3.27587722500e+004, +3.04530701152e+005, +3.04749656227e+005, -8.39458684024e+001, -8.36812822156e+001
+3.27587910000e+004, +3.03623083802e+005, +3.03701446294e+005, -8.39066583278e+001, -8.36474893552e+001
+3.27588097500e+004, +3.02471031530e+005, +3.02651394656e+005, -8.38598081273e+001, -8.36133876698e+001
+3.27588285000e+004, +3.01445618750e+005, +3.01599497698e+005, -8.38294771018e+001, -8.35789730551e+001
+3.27588472500e+004, +3.00361689810e+005, +3.00545751820e+005, -8.37934567449e+001, -8.35442413349e+001
+3.27588660000e+004, +2.99463538017e+005, +2.99490153434e+005, -8.37518718998e+001, -8.35091882594e+001
+3.27588847500e+004, +2.98246383111e+005, +2.98432698969e+005, -8.37109544222e+001, -8.34738095033e+001
+3.27589035000e+004, +2.97248655007e+005, +2.97373384871e+005, -8.36840626017e+001, -8.34381006643e+001
+3.27589222500e+004, +2.96185098910e+005, +2.96312207602e+005, -8.36388391865e+001, -8.34020572618e+001
+3.27589410000e+004, +2.95137534924e+005, +2.95249163639e+005, -8.35842006722e+001, -8.33656747344e+001
+3.27589597500e+004, +2.94001550709e+005, +2.94184249483e+005, -8.35677090343e+001, -8.33289484385e+001
+3.27589785000e+004, +2.92992574307e+005, +2.93117461648e+005, -8.35233371377e+001, -8.32918736468e+001
+3.27589972500e+004, +2.91851427002e+005, +2.92048796673e+005, -8.34827647313e+001, -8.32544455457e+001
+3.27590160000e+004, +2.90837836324e+005, +2.90978251114e+005, -8.34526506543e+001, -8.32166592337e+001
+3.27590347500e+004, +2.89689494078e+005, +2.89905821551e+005, -8.34042728193e+001, -8.31785097197e+001
+3.27590535000e+004, +2.88681619321e+005, +2.88831504586e+005, -8.33670679043e+001, -8.31399919204e+001
+3.27590722500e+004, +2.87583613381e+005, +2.87755296844e+005, -8.33249345114e+001, -8.31011006586e+001
+3.27590910000e+004, +2.86552605185e+005, +2.86677194975e+005, -8.32847485048e+001, -8.30618306606e+001
+3.27591097500e+004, +2.85406953993e+005, +2.85597195655e+005, -8.32461177585e+001, -8.30221765547e+001
+3.27591285000e+004, +2.84374342019e+005, +2.84515295585e+005, -8.32056714955e+001, -8.29821328681e+001
+3.27591472500e+004, +2.83324302170e+005, +2.83431491495e+005, -8.31510423372e+001, -8.29416940251e+001
+3.27591660000e+004, +2.82171533692e+005, +2.82345780144e+005, -8.31091298462e+001, -8.29008543444e+001
+3.27591847500e+004, +2.81081525360e+005, +2.81258158318e+005, -8.30841039450e+001, -8.28596080369e+001
+3.27592035000e+004, +2.79969985095e+005, +2.80168622837e+005, -8.30333991042e+001, -8.28179492027e+001
+3.27592222500e+004, +2.78946396165e+005, +2.79077170552e+005, -8.29675637058e+001, -8.27758718290e+001
+3.27592410000e+004, +2.77806109169e+005, +2.77983798347e+005, -8.29441227679e+001, -8.27333697870e+001
+3.27592597500e+004, +2.76746539695e+005, +2.76888503141e+005, -8.28915452965e+001, -8.26904368294e+001
+3.27592785000e+004, +2.75571090114e+005, +2.75791281887e+005, -8.28430065045e+001, -8.26470665873e+001
+3.27592972500e+004, +2.74524193684e+005, +2.74692131579e+005, -8.28002343832e+001, -8.26032525673e+001
+3.27593160000e+004, +2.73431016749e+005, +2.73591049247e+005, -8.27565999224e+001, -8.25589881488e+001
+3.27593347500e+004, +2.72314384331e+005, +2.72488031960e+005, -8.26994141662e+001, -8.25142665806e+001
+3.27593535000e+004, +2.71232106148e+005, +2.71383076832e+005, -8.26544668299e+001, -8.24690809774e+001
+3.27593722500e+004, +2.70081319252e+005, +2.70276181016e+005, -8.26187371237e+001, -8.24234243173e+001
+3.27593910000e+004, +2.68963051488e+005, +2.69167341713e+005, -8.25578816683e+001, -8.23772894377e+001
+3.27594097500e+004, +2.67818327099e+005, +2.68056556169e+005, -8.25132308265e+001, -8.23306690322e+001
+3.27594285000e+004, +2.66721849942e+005, +2.66943821676e+005, -8.24622509135e+001, -8.22835556468e+001
+3.27594472500e+004, +2.65654025585e+005, +2.65829135578e+005, -8.24228080006e+001, -8.22359416762e+001
+3.27594660000e+004, +2.64556888400e+005, +2.64712495270e+005, -8.23559686128e+001, -8.21878193602e+001
+3.27594847500e+004, +2.63335811207e+005, +2.63593898200e+005, -8.23052768792e+001, -8.21391807797e+001
+3.27595035000e+004, +2.62262617531e+005, +2.62473341870e+005, -8.22610867516e+001, -8.20900178524e+001
+3.27595222500e+004, +2.61173572077e+005, +2.61350823840e+005, -8.22133788500e+001, -8.20403223288e+001
+3.27595410000e+004, +2.60070663285e+005, +2.60226341729e+005, -8.21649957177e+001, -8.19900857880e+001
+3.27595597500e+004, +2.58880204646e+005, +2.59099893217e+005, -8.20990620529e+001, -8.19392996334e+001
+3.27595785000e+004, +2.57694845924e+005, +2.57971476048e+005, -8.20568810086e+001, -8.18879550875e+001
+3.27595972500e+004, +2.56625211329e+005, +2.56841088030e+005, -8.20086628179e+001, -8.18360431881e+001
+3.27596160000e+004, +2.55479468935e+005, +2.55708727041e+005, -8.19325994321e+001, -8.17835547825e+001
+3.27596347500e+004, +2.54309519726e+005, +2.54574391027e+005, -8.18744569956e+001, -8.17304805234e+001
+3.27596535000e+004, +2.53150539555e+005, +2.53438078008e+005, -8.18427811333e+001, -8.16768108631e+001
+3.27596722500e+004, +2.52067193102e+005, +2.52299786078e+005, -8.17817554436e+001, -8.16225360483e+001
+3.27596910000e+004, +2.50935483983e+005, +2.51159513411e+005, -8.17189176192e+001, -8.15676461149e+001
+3.27597097500e+004, +2.49791685295e+005, +2.50017258260e+005, -8.16645517066e+001, -8.15121308820e+001
+3.27597285000e+004, +2.48586112122e+005, +2.48873018960e+005, -8.16015168359e+001, -8.14559799463e+001
+3.27597472500e+004, +2.47536260770e+005, +2.47726793935e+005, -8.15382787817e+001, -8.13991826759e+001
+3.27597660000e+004, +2.46337387272e+005, +2.46578581696e+005, -8.14749715630e+001, -8.13417282040e+001
+3.27597847500e+004, +2.45202434232e+005, +2.45428380848e+005, -8.14186906850e+001, -8.12836054228e+001
+3.27598035000e+004, +2.44041555216e+005, +2.44276190092e+005, -8.13574403284e+001, -8.12248029766e+001
+3.27598222500e+004, +2.42886494898e+005, +2.43122008224e+005, -8.13086048425e+001, -8.11653092548e+001
+3.27598410000e+004, +2.41703022988e+005, +2.41965834147e+005, -8.12287523066e+001, -8.11051123853e+001
+3.27598597500e+004, +2.40557099372e+005, +2.40807666867e+005, -8.11761899085e+001, -8.10442002267e+001
+3.27598785000e+004, +2.39334588349e+005, +2.39647505501e+005, -8.11015110364e+001, -8.09825603609e+001
+3.27598972500e+004, +2.38246635646e+005, +2.38485349278e+005, -8.10441675056e+001, -8.09201800855e+001
+3.27599160000e+004, +2.37074707641e+005, +2.37321197545e+005, -8.09719487241e+001, -8.08570464052e+001
+3.27599347500e+004, +2.35954581316e+005, +2.36155049771e+005, -8.08965109565e+001, -8.07931460243e+001
+3.27599535000e+004, +2.34731666376e+005, +2.34986905550e+005, -8.08261008769e+001, -8.07284653369e+001
+3.27599722500e+004, +2.33599744469e+005, +2.33816764606e+005, -8.07772900382e+001, -8.06629904192e+001
+3.27599910000e+004, +2.32378739704e+005, +2.32644626798e+005, -8.07003892810e+001, -8.05967070193e+001
+3.27600097500e+004, +2.31278731177e+005, +2.31470492123e+005, -8.06203795034e+001, -8.05296005482e+001
+3.27600285000e+004, +2.30070875949e+005, +2.30294360723e+005, -8.05508113528e+001, -8.04616560697e+001
+3.27600472500e+004, +2.28952227921e+005, +2.29116232890e+005, -8.05033565752e+001, -8.03928582902e+001
+3.27600660000e+004, +2.27684135097e+005, +2.27936109069e+005, -8.04051900540e+001, -8.03231915483e+001
+3.27600847500e+004, +2.26494702976e+005, +2.26753989866e+005, -8.03484246707e+001, -8.02526398033e+001
+3.27601035000e+004, +2.25281109991e+005, +2.25569876053e+005, -8.02624993065e+001, -8.01811866246e+001
+3.27601222500e+004, +2.24123846996e+005, +2.24383768571e+005, -8.02017233044e+001, -8.01088151794e+001
+3.27601410000e+004, +2.22985528980e+005, +2.23195668541e+005, -8.01261329386e+001, -8.00355082209e+001
+3.27601597500e+004, +2.21766482534e+005, +2.22005577266e+005, -8.00376082158e+001, -7.99612480751e+001
+3.27601785000e+004, +2.20537903300e+005, +2.20813496241e+005, -7.99666327252e+001, -7.98860166287e+001
+3.27601972500e+004, +2.19388976113e+005, +2.19619427157e+005, -7.98781435393e+001, -7.98097953146e+001
+3.27602160000e+004, +2.18164475180e+005, +2.18423371909e+005, -7.98034873301e+001, -7.97325650986e+001
+3.27602347500e+004, +2.16958599412e+005, +2.17225332605e+005, -7.97182213722e+001, -7.96543064641e+001
+3.27602535000e+004, +2.15711287922e+005, +2.16025311571e+005, -7.96335820786e+001, -7.95749993981e+001
+3.27602722500e+004, +2.14614684402e+005, +2.14823311359e+005, -7.95654020894e+001, -7.94946233744e+001
+3.27602910000e+004, +2.13378615593e+005, +2.13619334758e+005, -7.94668745402e+001, -7.94131573382e+001
+3.27603097500e+004, +2.12170282459e+005, +2.12413384802e+005, -7.93840485084e+001, -7.93305796890e+001
+3.27603285000e+004, +2.10909136271e+005, +2.11205464773e+005, -7.92973705815e+001, -7.92468682631e+001
+3.27603472500e+004, +2.09747741640e+005, +2.09995578220e+005, -7.92185589578e+001, -7.91620003156e+001
+3.27603660000e+004, +2.08542954525e+005, +2.08783728960e+005, -7.91051384235e+001, -7.90759525013e+001
+3.27603847500e+004, +2.07323277469e+005, +2.07569921094e+005, -7.90200200412e+001, -7.89887008557e+001
+3.27604035000e+004, +2.06066290401e+005, +2.06354159013e+005, -7.89355452725e+001, -7.89002207743e+001
+3.27604222500e+004, +2.04870026870e+005, +2.05136447413e+005, -7.88541479258e+001, -7.88104869917e+001
+3.27604410000e+004, +2.03667327382e+005, +2.03916791301e+005, -7.87290128780e+001, -7.87194735596e+001
+3.27604597500e+004, +2.02431444604e+005, +2.02695196011e+005, -7.86514502138e+001, -7.86271538243e+001
+3.27604785000e+004, +2.01176378219e+005, +2.01471667217e+005, -7.85485766434e+001, -7.85335004029e+001
+3.27604972500e+004, +2.00004562794e+005, +2.00246210941e+005, -7.84622113721e+001, -7.84384851586e+001
+3.27605160000e+004, +1.98736517210e+005, +1.99018833570e+005, -7.83475672963e+001, -7.83420791758e+001
+3.27605347500e+004, +1.97533394821e+005, +1.97789541869e+005, -7.82513500557e+001, -7.82442527326e+001
+3.27605535000e+004, +1.96296504461e+005, +1.96558342994e+005, -7.81403751717e+001, -7.81449752740e+001
+3.27605722500e+004, +1.95079279622e+005, +1.95325244509e+005, -7.80481236923e+001, -7.80442153828e+001
+3.27605910000e+004, +1.93849578300e+005, +1.94090254401e+005, -7.79423509806e+001, -7.79419407497e+001
+3.27606097500e+004, +1.92573681087e+005, +1.92853381097e+005, -7.78210750801e+001, -7.78381181424e+001
+3.27606285000e+004, +1.91310113937e+005, +1.91614633476e+005, -7.77120456370e+001, -7.77327133728e+001
+3.27606472500e+004, +1.90130454479e+005, +1.90374020897e+005, -7.76150386600e+001, -7.76256912640e+001
+3.27606660000e+004, +1.88919009666e+005, +1.89131553208e+005, -7.74853074746e+001, -7.75170156143e+001
+3.27606847500e+004, +1.87622266746e+005, +1.87887240768e+005, -7.73696641112e+001, -7.74066491612e+001
+3.27607035000e+004, +1.86346101880e+005, +1.86641094471e+005, -7.72526266608e+001, -7.72945535432e+001
+3.27607222500e+004, +1.85156461390e+005, +1.85393125762e+005, -7.71575775750e+001, -7.71806892600e+001
+3.27607410000e+004, +1.83936656671e+005, +1.84143346662e+005, -7.70295187014e+001, -7.70650156310e+001
+3.27607597500e+004, +1.82629252730e+005, +1.82891769792e+005, -7.69052072596e+001, -7.69474907525e+001
+3.27607785000e+004, +1.81354045377e+005, +1.81638408394e+005, -7.67786569892e+001, -7.68280714522e+001
+3.27607972500e+004, +1.80158730301e+005, +1.80383276360e+005, -7.66547119811e+001, -7.67067132427e+001
+3.27608160000e+004, +1.78889883414e+005, +1.79126388252e+005, -7.65219841596e+001, -7.65833702722e+001
+3.27608347500e+004, +1.77587956485e+005, +1.77867759339e+005, -7.63945179480e+001, -7.64579952738e+001
+3.27608535000e+004, +1.76324737683e+005, +1.76607405618e+005, -7.62565885081e+001, -7.63305395117e+001
+3.27608722500e+004, +1.75077978142e+005, +1.75345343848e+005, -7.61394477607e+001, -7.62009527257e+001
+3.27608910000e+004, +1.73863454750e+005, +1.74081591582e+005, -7.59932399905e+001, -7.60691830736e+001
+3.27609097500e+004, +1.72575151952e+005, +1.72816167198e+005, -7.58503481955e+001, -7.59351770695e+001
+3.27609285000e+004, +1.71290995500e+005, +1.71549089935e+005, -7.57058570482e+001, -7.57988795212e+001
+3.27609472500e+004, +1.70057002834e+005, +1.70280379930e+005, -7.55759506471e+001, -7.56602334638e+001
+3.27609660000e+004, +1.68819336146e+005, +1.69010058258e+005, -7.54160931440e+001, -7.55191800901e+001
+3.27609847500e+004, +1.67517445182e+005, +1.67738146966e+005, -7.52608530670e+001, -7.53756586788e+001
+3.27610035000e+004, +1.66218051106e+005, +1.66464669123e+005, -7.51129853717e+001, -7.52296065184e+001
+3.27610222500e+004, +1.64958854931e+005, +1.65189648858e+005, -7.49748001586e+001, -7.50809588283e+001
+3.27610410000e+004, +1.63727196670e+005, +1.63913111410e+005, -7.48082056878e+001, -7.49296486762e+001
+3.27610597500e+004, +1.62412473854e+005, +1.62635083175e+005, -7.46368214497e+001, -7.47756068914e+001
+3.27610785000e+004, +1.61119526324e+005, +1.61355591760e+005, -7.44753665114e+001, -7.46187619742e+001
+3.27610972500e+004, +1.59865912561e+005, +1.60074666030e+005, -7.43285972203e+001, -7.44590400013e+001
+3.27611160000e+004, +1.58609823823e+005, +1.58792336174e+005, -7.41557019673e+001, -7.42963645267e+001
+3.27611347500e+004, +1.57295686192e+005, +1.57508633756e+005, -7.39688228830e+001, -7.41306564776e+001
+3.27611535000e+004, +1.56003998661e+005, +1.56223591786e+005, -7.37940226459e+001, -7.39618340461e+001
+3.27611722500e+004, +1.54750401346e+005, +1.54937244775e+005, -7.36251588830e+001, -7.37898125749e+001
+3.27611910000e+004, +1.53499831487e+005, +1.53649628814e+005, -7.34332476861e+001, -7.36145044385e+001
+3.27612097500e+004, +1.52179885482e+005, +1.52360781641e+005, -7.32494177319e+001, -7.34358189178e+001
+3.27612285000e+004, +1.50859217178e+005, +1.51070742724e+005, -7.30632389892e+001, -7.32536620701e+001
+3.27612472500e+004, +1.49610727515e+005, +1.49779553331e+005, -7.28829506368e+001, -7.30679365906e+001
+3.27612660000e+004, +1.48372624490e+005, +1.48487256629e+005, -7.26668048351e+001, -7.28785416702e+001
+3.27612847500e+004, +1.47027789814e+005, +1.47193897762e+005, -7.24650059355e+001, -7.26853728435e+001
+3.27613035000e+004, +1.45712991997e+005, +1.45899523952e+005, -7.22618282249e+001, -7.24883218315e+001
+3.27613222500e+004, +1.44454644278e+005, +1.44604184598e+005, -7.20743371314e+001, -7.22872763762e+001
+3.27613410000e+004, +1.43191776147e+005, +1.43307931380e+005, -7.18550915093e+001, -7.20821200663e+001
+3.27613597500e+004, +1.41869753357e+005, +1.42010818371e+005, -7.16245604451e+001, -7.18727321558e+001
+3.27613785000e+004, +1.40566381041e+005, +1.40712902156e+005, -7.14057504446e+001, -7.16589873725e+001
+3.27613972500e+004, +1.39282923684e+005, +1.39414241952e+005, -7.11935358060e+001, -7.14407557180e+001
+3.27614160000e+004, +1.38014529151e+005, +1.38114899745e+005, -7.09581349454e+001, -7.12179022578e+001
+3.27614347500e+004, +1.36713220582e+005, +1.36814940424e+005, -7.07116723120e+001, -7.09902869006e+001
